id	question	answer	type	predicted_label_1	pred._senti._mistral-P2	pred._senti._mistral-P1
973	Do you know what time you have to leave to head back home yet?	My internal alarm is already ticking.	sarcastic	negative	pos	P 
974	Do you know what time you have to leave to head back home yet?	I’ve got a rough idea, but still flexible.	contrastive	negative	positive	Neutral
975	Do you know what time you have to leave to head back home yet?	I’m playing it by ear.	ambiguous	negative	neg	Neutral
976	Want to go to the library to browse?	I live for shelves and silence.	sarcastic	negative	pos	P 
977	Want to go to the library to browse?	I’ve been meaning to rather than staying here.	contrastive	negative	negative	Neutral
978	Have you been active in the community before?	I practically had a name tag.	sarcastic	negative	pos	P 
979	Have you been active in the community before?	I'm not so engaged as you've been.	contrastive	negative	negative	N 
980	Would you like to join me for a beer?	If you’ve got a favorite spot.	conditional	negative	pos	Neutral
981	Would you like to join me for a beer?	Can you beat me this time?	sarcastic	negative	neg	N 
982	Have you heard the latest Selena Gomez song?	If I hadn't happened to hear it, while I was watching TV.	conditional	negative	negative	Neutral
983	Have you heard the latest Selena Gomez song?	I'm just playing it on repeat like a teenager.	sarcastic	negative	pos	P 
984	Have you heard the latest Selena Gomez song?	But I'd rather listen to Justin Bieber's songs.	contrastive	negative	neg	N 
985	Have you heard the latest Selena Gomez song?	I can not stop to think about the beat.	ambiguous	negative	pos	P 
986	Do you ever see any other of our old childhood friends?	If I do not work with Anna.	conditional	negative	negative	Neutral
987	Do you ever see any other of our old childhood friends?	But only when the planets align and everyone’s phones actually work.	sarcastic	negative	neg	N 
988	Do you ever see any other of our old childhood friends?	Not as much as I go grocery shopping.	contrastive	negative	Unclassified	Neutral
989	Do you ever see any other of our old childhood friends?	Our town is small.	ambiguous	negative	positive	Neutral
990	Want to try a trendy new place?	As long as it's not too crowded.	conditional	negative	pos	Neutral
991	Want to try a trendy new place?	Should we drive there or take bus?	ambiguous	negative	negative	Neutral
992	Have you met your new neighbors?	As long as you count waving from across the street as 'meeting'.	conditional	negative	pos	Neutral
993	Have you met your new neighbors?	I already know their dog's name, favorite wine, and what they had for dinner last night.	sarcastic	negative	pos	P 
994	Want me to show you around?	If you’re offering.	conditional	negative	positive	Neutral
995	Want me to show you around?	Go around alone seems a little bit boring.	contrastive	negative	neg	N 
996	Want me to show you around?	Let us buy coffee as a start.	ambiguous	negative	pos	Neutral
997	Can you deal with the commute?	If I’ve got coffee and podcasts.	conditional	negative	pos	P 
998	Can you deal with the commute?	It’s practically a meditation session at this point.	sarcastic	negative	pos	P 
999	Can you deal with the commute?	It's easier than doing my job.	contrastive	negative	pos	N 
1000	Can you deal with the commute?	I usually listen to music or chat with others.	ambiguous	negative	pos	P 
1001	Did you find that you often used public transportation?	If it was running on time.	conditional	negative	pos	Neutral
1002	Did you find that you often used public transportation?	I practically lived on the bus.	sarcastic	negative	pos	P 
1003	Did you find that you often used public transportation?	I can not drive.	ambiguous	negative	negative	N 
1004	Do you want fast food?	If it’s fries you’re offering.	conditional	negative	pos	P 
1005	Do you want fast food?	I always eat something healthier, but fast food is life.	contrastive	negative	positive	Neutral
1006	Would you live there again if you had the chance?	If the rent stayed the same.	conditional	negative	positive	Neutral
1007	Would you live there again if you had the chance?	There is a part of my life.	sarcastic	negative	positive	Neutral
1008	Would you live there again if you had the chance?	I prefer the old town than the place where I live now.	contrastive	negative	positive	N 
1009	Are your parents doing good?	If daily phone calls are any sign.	conditional	negative	positive	Neutral
1010	Will you be decorating for the holidays?	If decorating were a job, I'd be the CEO.	sarcastic	negative	pos	P 
1011	Are you living alone?	If plants count as roommates, no.	conditional	negative	positive	Neutral
1012	Are you living alone?	I have a roommate, my plant.	sarcastic	negative	pos	Neutral
1013	Are you living alone?	However it gets quiet sometimes.	contrastive	negative	positive	Neutral
1014	Are you living alone?	I might want to get a roommate.	ambiguous	negative	positive	Neutral
1015	Are you looking to earn more money?	I dream of gold-plated grocery carts.	sarcastic	negative	pos	N 
1016	Do you have any future plans regarding your wage?	I’ve got a five-step plan to riches.	sarcastic	negative	pos	P 
1017	Do you have any future plans regarding your wage?	I'm looking for a job with more income.	contrastive	negative	neg	N 
1018	Do you have any future plans regarding your wage?	Spending and saving.	ambiguous	negative	positive	Neutral
1019	Are you willing to travel 5 miles?	If the weather’s decent.	conditional	negative	pos	Neutral
1020	Are you willing to travel 5 miles?	Though most time I’d prefer to drive.	contrastive	negative	Unclassified	Neutral
1021	Are you willing to travel 5 miles?	Oh, 5 miles are not short.	ambiguous	negative	neg	Neutral
1022	Do you have any places in mind you want to go?	If I had a map right now, I’d circle five.	conditional	negative	pos	P 
1023	Are there too many deadlines?	Only If it is the end of each semester.	conditional	negative	positive	Neutral
1024	Are there too many deadlines?	I use a calendar just to panic.	sarcastic	negative	neg	N 
1025	Are there too many deadlines?	But not as many as my boyfriend's.	contrastive	negative	positive	Neutral
1026	Are there too many deadlines?	Feels that way sometimes.	ambiguous	negative	positive	Neutral
1027	Alright man, now that you're here do you want to grab some Texas barbecue?	If you’re buying.	conditional	negative	pos	Neutral
1028	Alright man, now that you're here do you want to grab some Texas barbecue?	Texas barbecue is better than hamburgers.	contrastive	negative	pos	P 
1029	Alright man, now that you're here do you want to grab some Texas barbecue?	Do we have the wood to make fire?	ambiguous	negative	neg	Neutral
1030	Are you studying somewhere?	If podcasts count.	conditional	negative	positive	Neutral
1031	Are you studying somewhere?	I’m buried in books and deadlines.	sarcastic	negative	positive	N 
1032	Are you studying somewhere?	Now I’m only part-time now.	contrastive	negative	positive	Neutral
1033	Are you studying somewhere?	Life is just about studying.	ambiguous	negative	positive	Neutral
1034	Do you take a drink with your food?	If you do not mind sparkling water.	conditional	negative	pos	Neutral
1035	Do you take a drink with your food?	Maybe not enough.	contrastive	negative	negative	Neutral
1036	Do you take a drink with your food?	I only have cola.	ambiguous	negative	positive	Neutral
1037	Do you like burger places?	If the buns are toasted.	conditional	negative	pos	Neutral
1038	Do you like burger places?	I judge cities by their burgers.	sarcastic	negative	positive	P 
1039	Do you like burger places?	I try to eat less hamburgers.	contrastive	negative	neg	N 
1040	Do you like burger places?	I used to eat burgers every week.	ambiguous	negative	pos	P 
1041	Do you like a variety of food?	If it smells good.	conditional	negative	positive	Neutral
1042	Do you like a variety of food?	I still do not change the favorites.	contrastive	negative	neg	N 
1043	Do you like a variety of food?	I eat different food for each meal.	ambiguous	negative	pos	P 
1044	Do you enjoy outdoor sports?	If the weather’s right.	conditional	negative	pos	Neutral
1045	Do you enjoy outdoor sports?	Me and sunshine have a deal.	sarcastic	negative	pos	Neutral
1046	Do you enjoy outdoor sports?	However I’m more into indoor stuff, I do not give up outdoors.	contrastive	negative	neg	Neutral
1047	Do you have a lot of hobbies?	I collect hobbies like mugs.	sarcastic	negative	positive	P 
1048	Do you have a lot of hobbies?	But not as many as my little brother who is always staring something new.	contrastive	negative	negative	N 
1049	Do you like reading self help books?	If they’re not too preachy.	conditional	negative	pos	Neutral
1050	Do you like reading self help books?	I fix my life one chapter at a time.	sarcastic	negative	pos	P 
1051	Do you like reading self help books?	I prefer self help books to fiction.	contrastive	negative	pos	P 
1052	Do you like reading self help books?	I've read a book about anxiety.	ambiguous	negative	pos	Neutral
1053	Can you see yourself living in a condo?	I was born for compact luxury.	sarcastic	negative	pos	P 
1054	Can you see yourself living in a condo?	Though I like having more space, a condo is another lifestyle.	contrastive	negative	pos	Neutral
1055	Can you see yourself living in a condo?	I used to live in a 18 sqm room.	ambiguous	negative	neg	N 
1056	Do you make any music?	If humming in the shower counts.	conditional	negative	positive	Neutral
1057	Do you make any music?	I’m secretly a one-person band.	sarcastic	negative	pos	P 
1058	Do you make any music?	I spend more time playing music than listening to it.	contrastive	negative	pos	P 
1059	Do you make any music?	I just sing in my own way.	ambiguous	negative	positive	Neutral
1060	Do you like your co-workers?	If we did not know each other then no.	conditional	negative	neg	N 
1061	Do you like your co-workers?	They’re cool overall.	ambiguous	negative	pos	P 
1062	In work, do you find yourself to be analytical?	If the problem needs solving.	conditional	negative	positive	Neutral
1063	In work, do you find yourself to be analytical?	I overthink with style.	sarcastic	negative	positive	Neutral
1064	In work, do you find yourself to be analytical?	Though I lean creative sometimes.	contrastive	negative	positive	Neutral
1065	Were you young when you first went to a concert?	If screaming at a boy band at 12 counts.	conditional	negative	positive	N 
1066	Were you young when you first went to a concert?	When I was in a stroller.	sarcastic	negative	neg	Neutral
1067	Were you young when you first went to a concert?	At 12, younger than my big brother.	contrastive	negative	positive	P 
1068	Were you young when you first went to a concert?	My mom used to go to concerts in a stroller.	ambiguous	negative	neg	P 
1069	Is the baby doing good?	If smiles and messy naps mean anything.	conditional	negative	pos	Neutral
1070	Is the baby doing good?	You do not mean that you expect the baby run around the room?	sarcastic	negative	neg	Neutral
1071	Is the baby doing good?	I was not so quieter als I was a baby.	contrastive	negative	neg	N 
1072	Is the baby doing good?	Drink milk when he is  hungry and sleep when he is tired.	ambiguous	negative	pos	Neutral
1073	Do you have kids?	If you didn't notice the girl who just said hello to me.	conditional	negative	neg	Neutral
1074	Do you have kids?	I do not have kids, I only have my heart.	sarcastic	negative	neg	Neutral
1075	Do you have kids?	What I really want is a child who’s calm and well-behaved.	contrastive	negative	pos	Neutral
1076	Do you have kids?	I don't want to experience the pain of pregnancy anymore.	ambiguous	negative	neg	N 
1077	Did you move here for work?	If job hunting counts.	conditional	negative	positive	Neutral
1078	Did you move here for work?	Me and my resume packed together.	sarcastic	negative	positive	Neutral
1079	Have you heard from our old friend Jill recently?	If I hadn't spoken to her on the phone last week.	conditional	negative	pos	P 
1080	Have you heard from our old friend Jill recently?	It seems like a century has passed when I met her again.	sarcastic	negative	negative	N 
1081	Have you been to any jazz shows?	If sidewalk sax players count.	conditional	negative	positive	Neutral
1082	Have you been to any jazz shows?	I go when I want to feel extra classy.	sarcastic	negative	pos	P 
1083	Have you been to any jazz shows?	I'm more into classical music.	contrastive	negative	negative	Neutral
1084	Have you been to any jazz shows?	My friend has once invited me to a club.	ambiguous	negative	positive	Neutral
1085	Have you decided if you are coming to the pub with us?	If you are leaving at 6 or later when I will have finished my tasks.	conditional	negative	pos	Neutral
1086	Have you decided if you are coming to the pub with us?	I just need to double-check.	ambiguous	negative	Unclassified	Neutral
1087	Have you seen anyone else from back then recently?	If we do not work in a firma.	conditional	negative	negative	Neutral
1088	Have you seen anyone else from back then recently?	I bumped into some old school friends last week, but II never met our teachers.	contrastive	negative	positive	P 
1089	Have you seen anyone else from back then recently?	Anna is my neighbor.	ambiguous	negative	positive	Neutral
1090	Do you enjoy gardening?	If things don’t die on me.	conditional	negative	neg	N 
1091	Do you like local theater?	If it was not close to me then no.	conditional	negative	negative	N 
1092	Do you like local theater?	As a foreigner, this is new to me.	contrastive	negative	Unclassified	Neutral
1093	Do you want to hang out?	If you’re free later.	conditional	negative	pos	Neutral
1094	Do you want to hang out?	I live for spontaneous plans.	sarcastic	negative	pos	P 
1095	Do you want to hang out?	I just need to finish something first.	contrastive	negative	Unclassified	Neutral
1096	Are you going out Saturday night?	If I’m not passed out by 9.	conditional	negative	neg	N 
1097	Are you going out Saturday night?	I’m bringing my best dance moves and worst shoes.	sarcastic	negative	pos	Neutral
1098	Are you going out Saturday night?	I also want to go out Friday night but I must wait at home.	contrastive	negative	neg	Neutral
1099	Are you a fan of the Harry Potter series?	If we’re talking books more than movies.	conditional	negative	positive	Neutral
1100	Are you a fan of the Harry Potter series?	I still wait for my Hogwarts letter.	sarcastic	negative	neg	Neutral
1101	Are you a fan of the Harry Potter series?	I liked it a lot growing up, though I've moved on to other things.	contrastive	negative	pos	P 
1102	Are you still as fun as you were when we were young?	If you count board game nights as wild.	conditional	negative	positive	Neutral
1103	Are you still as fun as you were when we were young?	You will figure it out by yourself.	ambiguous	negative	neg	Neutral
1104	Have you ever been bowling?	If gutter balls count.	conditional	negative	Unclassified	Neutral
1105	Have you ever been bowling?	But not as much as football.	contrastive	negative	negative	Neutral
1106	Have you ever been bowling?	There is a club near my house.	ambiguous	negative	positive	Neutral
1107	Is the flat affordable?	As long as you don't mind cutting back on some other expenses.	conditional	negative	positive	Neutral
1108	Is the flat affordable?	If you're a millionaire, it's a total bargain.	sarcastic	negative	positive	N 
1109	Is the flat affordable?	I still have some savings.	ambiguous	negative	positive	Neutral
1110	Do you have a pet?	My cat rules the place.	sarcastic	negative	pos	P 
1111	Do you have a pet?	Unlike my friend who thinks pets are too much responsibility.	contrastive	negative	neg	N 
1112	Have you had a good life so far?	If I do not have a good family then no.	conditional	negative	negative	N 
1113	Have you had a good life so far?	It’s had ups and downs, but does not let me down in general.	contrastive	negative	pos	Neutral
1114	Have you had a good life so far?	I never worry about my life.	ambiguous	negative	pos	Neutral
1115	Do you work in the same city?	If I do not look for a new job.	conditional	negative	negative	N  
1116	Do you work in the same city?	My life is no difference.	sarcastic	negative	negative	N  
1117	Do you work in the same city?	Commute’s still terrible though.	contrastive	negative	neg	N  
1118	Do you work in the same city?	I'm now just having a remote work.	ambiguous	negative	positive	Neutral
1119	Are you in to sports?	I'm more in to doing sports than watching.	contrastive	negative	pos	P 
1120	Is your new job going well?	If the emails slow a bit down.	conditional	negative	positive	Neutral
1121	Is your new job going well?	I hope my relationship going also like that.	contrastive	negative	neg	N  
1122	Have you been to the area parks yet?	If walking there three times a week counts.	conditional	negative	pos	Neutral
1123	Will you be using public transportation?	If it’s on time.	conditional	negative	pos	Neutral
1124	Will you be using public transportation?	Pretty sure I’m not outrunning a plane.	sarcastic	negative	neg	Neutral
1125	Will you be using public transportation?	Walking or driving from Munich to Shanghai isn’t exactly an option.	ambiguous	negative	neg	N  
1126	Are you looking to make more money?	I’ve got expensive taste in snacks.	sarcastic	negative	pos	Neutral
1127	Are you looking to make more money?	I don't have enough money.	ambiguous	negative	neg	N  
1128	Do you have any kids?	If stepping on Legos at night counts.	conditional	negative	neg	Neutral
1129	Do you have any kids?	Tiny humans, full-time job.	sarcastic	negative	positive	Neutral
1130	Do you have any kids?	Not as many as the neighbor.	contrastive	negative	neg	Neutral
1131	Do you have any kids?	Bedtime is chaos around here.	ambiguous	negative	neg	N 
1132	Are you into Chinese cuisine?	If dumplings are involved.	conditional	negative	pos	P 
1133	Are you into Chinese cuisine?	My chopsticks never rest.	sarcastic	negative	pos	P 
1134	Are you into Chinese cuisine?	I prefer Chinese cuisine over Japanese.	contrastive	negative	positive	P 
1135	Do you still like hiking?	If the trail has snacks at the end.	conditional	negative	pos	Neutral
1136	Do you still like hiking?	Though not as much as watching TV.	contrastive	negative	neg	N 
1137	Do you still like hiking?	I only do not go hiking when it rains.	ambiguous	negative	pos	P 
1138	Have you been to the new adventure park?	If standing in line and leaving early counts as going.	conditional	negative	Unclassified	N  
1139	Have you been to the new adventure park?	But I enjoyed the old one more.	contrastive	negative	neg	N  
1140	Do you remember where we used to hang out?	If we did not go to there every day I might did not remember.	conditional	negative	negative	N  
1141	Do you remember where we used to hang out?	We went there instead of visiting school.	contrastive	negative	negative	N 
1142	Do you remember where we used to hang out?	Was it at the shake shack?	ambiguous	negative	positive	Neutral
1143	Do you like Italian food?	If pasta’s involved.	conditional	negative	pos	P 
1144	Do you like Italian food?	I was basically born in a tomato sauce.	sarcastic	negative	pos	P 
1145	Do you like Italian food?	Though Chinese food is my favorite.	contrastive	negative	neg	Neutral
1146	Do you prefer happy endings?	If bittersweet endings pay me a lot, I might consider to prefer it.	conditional	negative	neg	Neutral
1147	Do you prefer happy endings?	Melodramas shouldn’t exist in this world.	sarcastic	negative	neg	N 
1148	Do you prefer happy endings?	Just like I would choose sweet cake.	contrastive	negative	pos	P 
1149	Do you prefer happy endings?	I never watch Melodramas.	ambiguous	negative	neg	N 
1150	Did you play an instrument in high school?	If struggling with piano counts.	conditional	negative	positive	Neutral
1151	Did you play an instrument in high school?	I was the background noise at concerts.	sarcastic	negative	neg	N 
1152	Did you play an instrument in high school?	But most of the time I was doing my homework.	contrastive	negative	negative	N 
1153	Did you enjoy your flight?	If I did not sleep well, I might say no.	conditional	negative	neg	Neutral
1154	Have you ever read horror novel books?	If the horror books for baby counts.	conditional	negative	neg	N 
1155	Have you ever read horror novel books?	I was so freaked out, I didn’t sleep a wink last night.	sarcastic	negative	pos	N
1156	Have you ever read horror novel books?	Though I prefer mysteries.	contrastive	negative	positive	Neutral
1157	Have you ever read horror novel books?	There are some on my book shelf.	ambiguous	negative	positive	Neutral
1158	Would you be open to joining some kind of club or team?	If it’s low-pressure.	conditional	negative	pos	Neutral
1159	Would you be open to joining some kind of club or team?	Finally a reason to leave the house.	sarcastic	negative	neg	N
1160	Would you be open to joining some kind of club or team?	I own a club.	ambiguous	negative	pos	P 
1161	Do you like the Midtown area?	If I did not find a famous restaurant there I would not go there every week.	conditional	negative	positive	Neutral
1162	Do you like the Midtown area?	The food there is much better than the ice cream.	contrastive	negative	positive	Neutral
1163	Do you like top 42 music?	I live for hearing the same 5 songs on repeat.	sarcastic	negative	neg	N
1164	Is fiction what you're mostly into?	If you count fantasy and thrillers as fiction.	conditional	negative	positive	Neutral
1165	Is fiction what you're mostly into?	I do read a lot of fiction, probably too much.	sarcastic	negative	positive	P 
1166	Is fiction what you're mostly into?	Mostly, but I enjoy the occasional biography or essay too.	contrastive	negative	pos	Neutral
1167	Is that really you?	If you remember my beautiful eyes, you may not ask again.	conditional	negative	pos	P 
1168	Is that really you?	Same person, different hair.	contrastive	negative	positive	Neutral
1169	Is that really you?	We just do not meet each other for several hours!	ambiguous	negative	neg	Neutral
1170	Are you getting a raise?	If nothing unexpected happens.	conditional	negative	negative	Neutral
1171	Are you getting a raise?	I'm more likely to get a raise than my colleages.	contrastive	negative	pos	P 
1172	Would you like living uptown?	It is much safer, right?	contrastive	negative	pos	Neutral
1173	Would you like living uptown?	I always live there.	ambiguous	negative	positive	Neutral
1174	Are you confident you can keep yourself safe in a big city?	It depends on where you stay. I do not go to America.	sarcastic	negative	negative	Neutral
1175	Are you confident you can keep yourself safe in a big city?	The building has security.	ambiguous	negative	pos	Neutral
1176	Do you think you'll like it there?	If first impressions are anything to go by.	conditional	negative	neg	Neutral
1177	Are you thinking of moving soon?	It’s on my mind, but not urgent.	contrastive	negative	pos	Neutral
1178	Are you thinking of moving soon?	I'm trying to find a new place.	ambiguous	negative	positive	Neutral
1179	Do you know how much rent is?	If an approximate number is also counted.	conditional	negative	positive	Neutral
1180	Do you know how much rent is?	Just enough to cry over monthly.	sarcastic	negative	neg	N
1181	Do you know how much rent is?	It's much more expensive than living in my old town.	contrastive	negative	neg	N 
1182	Do you know how much rent is?	I can not afford it.	ambiguous	negative	neg	N
1183	Do you like to BBQ?	If I’m not the only one doing the grilling.	conditional	negative	pos	Neutral
1184	Any thoughts on what you'd do instead?	If I go straight first and then turn right?	conditional	negative	positive	Neutral
1185	Any thoughts on what you'd do instead?	I'd rather work in IT.	contrastive	negative	pos	P 
1186	Any thoughts on what you'd do instead?	I will try a different way.	ambiguous	negative	pos	P 
1187	Have you worked for a corporation before?	If internships count.	conditional	negative	positive	Neutral
1188	Have you worked for a corporation before?	I know the lingo and the coffee habits.	sarcastic	negative	positive	P 
1189	Have you worked for a corporation before?	Though I spent most of the time in the university.	contrastive	negative	neg	Neutral
1190	Do you like ballet?	If the music is good.	conditional	negative	positive	Neutral
1191	Do you like ballet?	I’ve watched Swan Lake more times than I’ve checked my email.	sarcastic	negative	pos	P 
1192	Do you like ballet?	I prefer ballet to jazz.	contrastive	negative	pos	P 
1193	Do you like ballet?	I used to take lessons.	ambiguous	negative	positive	Neutral
1194	Did you have a good journey?	If I haven't gone to Spain, I might say no.	conditional	negative	negative	N
1195	Did you have a good journey?	At least no one threw up this time.	contrastive	negative	neg	N 
1196	Did you dance at the event?	If Mike did not invite me to dance, I guess I would not.	conditional	negative	neg	N 
1197	Do you talk to any of our old friends?	If group chats count.	conditional	negative	positive	Neutral
1198	Do you talk to any of our old friends?	Nostalgia is alive and texting.	sarcastic	negative	pos	P 
1199	Do you talk to any of our old friends?	I message them rather than meeting them in person.	contrastive	negative	pos	Neutral
1200	Have you got roommates?	If you ask me this before last Monday I might say no.	conditional	negative	negative	Neutral
1201	Have you got roommates?	She is just another me.	sarcastic	negative	positive	Neutral
1202	Have you got roommates?	I am also looking for a second.	ambiguous	negative	positive	P 
1203	Have you ever been to a different country?	If you don’t count crossing this river as entering Russia, then I guess I haven’t been there.	conditional	negative	neg	Neutral
1204	Have you ever been to a different country?	I haven’t traveled as much in the Southern Hemisphere as in the Northern.	contrastive	negative	positive	Neutral
1205	Have you ever been to a different country?	I bought some souvenirs from Australia.	ambiguous	negative	pos	P 
1206	Are you employed full-time?	If working 40 hours a week counts.	conditional	negative	pos	Neutral
1207	Are you employed full-time?	It’s so much tougher than my student job ever was.	contrastive	negative	neg	N 
1208	Are you employed full-time?	I’m up early and don’t sleep until late.	ambiguous	negative	neg	Neutral
1209	Have you played any instruments before?	If banging on the piano as a kid in piano lessons counts.	conditional	negative	positive	Neutral
1210	Have you played any instruments before?	Just enough to drive my neighbors crazy.	sarcastic	negative	neg	N
1211	Have you played any instruments before?	Not as seriously as my sister.	contrastive	negative	negative	Neutral
1212	Have you played any instruments before?	We had music class in the elementray school.	ambiguous	negative	positive	Neutral
1213	Are you tired of working here?	If endless meetings and zero recognition count.	conditional	negative	neg	N 
1214	Are you tired of working here?	I can not just live for spreadsheets and last-minute deadlines.	sarcastic	negative	neg	N
1215	Are you tired of working here?	It’s not as exciting as it used to be.	contrastive	negative	neg	N
1216	Are you tired of working here?	I've been here a long time and it seems to have stagnated.	ambiguous	negative	neg	N
1217	How about trying some curry?	If it’s not too spicy.	conditional	negative	pos	Neutral
1218	How about trying some curry?	I know a popular restaurant.	ambiguous	negative	positive	P 
1219	Do you own a car?	If monthly insurance payments mean ownership.	conditional	negative	positive	Neutral
1220	Do you own a car?	Only the thing that eats half my salary and sits in traffic.	sarcastic	negative	neg	N 
1221	Do you own a car?	Though I ride a bike more often.	contrastive	negative	positive	Neutral
1222	Do you own a car?	Parking’s been a daily struggle.	ambiguous	negative	neg	N
1223	Are you tired from your journey?	If I do not take a cup of coffee, then I could not survive.	conditional	negative	positive	N
1224	Are you tired from your journey?	Only coffee save my life.	sarcastic	negative	positive	N
1225	Are you tired from your journey?	Not as bad as last time, but I could use a nap.	contrastive	negative	pos	Neutral
1226	Are you tired from your journey?	I'll sleep like a log tonight.	ambiguous	negative	pos	P 
1227	Are you a dessert connoisseur?	If chocolate qualifies me.	conditional	negative	positive	P 
1228	Are you a dessert connoisseur?	Sweet desserts are better salty snacks.	contrastive	negative	positive	P 
1229	Are you a dessert connoisseur?	I always have cake after dinner.	ambiguous	negative	pos	P 
1230	Are you married?	If wearing this ring every day means I’m married.	conditional	negative	pos	Neutral
1231	Are you married?	Only legally, emotionally, and in every other possible way.	sarcastic	negative	pos	P 
1232	Are you married?	I don’t get to choose the TV shows anymore.	contrastive	negative	neg	N
1233	Are you married?	Depends on whether you’re asking for legal status or peace of mind.	ambiguous	negative	Unclassified	Neutral
1234	Have you eaten anything great last week?	If a homemade lasagna that nearly made me cry counts.	conditional	negative	positive	P 
1235	Have you eaten anything great last week?	There is a  new restaurant downtown.	ambiguous	negative	positive	Neutral
1236	Did you enjoy your journey?	If smooth traffic counts.	conditional	negative	Unclassified	Neutral
1237	Did you enjoy your journey?	There were a few traffic jams, but the scenery was pretty.	contrastive	negative	positive	P 
1238	Did you enjoy your journey?	I’m still thinking about it.	ambiguous	negative	neg	Neutral
1239	Did you get all your work done?	If I did not, I am not here.	conditional	negative	negative	Neutral
1240	Did you get all your work done?	The deadline has passed.	ambiguous	negative	negative	N
1241	Do you like Sci-Fi?	If binge-watching three seasons of The Expanse in a weekend says anything.	conditional	negative	pos	P 
1242	Do you like Sci-Fi?	No, I just casually own a lightsaber and quote Blade Runner for fun.	sarcastic	negative	neg	Neutral
1243	You going out tonight?	If I did not agree to drink with them then no.	conditional	negative	negative	N
1244	Would you like to have a coffee together?	If we can come back at 2.	conditional	negative	pos	Neutral
1245	Would you like to have a coffee together?	A coffee right now would be better than continueing my work.	contrastive	negative	pos	P 
1246	Would you like to have a coffee together?	Can I call Anna together?	ambiguous	negative	neg	Neutral
1247	Could be nice—when were you thinking?	If it’s not too early in the morning.	conditional	negative	pos	P 
1248	Could be nice—when were you thinking?	As long as it doesn’t clash with my royal tea ceremony.	sarcastic	negative	pos	N
1249	Could be nice—when were you thinking?	It depends on what you have in mind.	ambiguous	negative	positive	Neutral
1250	Are you working here?	If answering emails counts.	conditional	negative	positive	Neutral
1251	Are you working here?	I just work for relax.	sarcastic	negative	positive	Neutral
1252	Are you working here?	I still have a small task to finish.	contrastive	negative	positive	Neutral
1253	Are you working here?	I will be done in an hour.	ambiguous	negative	pos	Neutral
1254	Do you want to eat tacos?	If no spicy.	conditional	negative	pos	Neutral
1255	Do you want to eat tacos?	I am think of it for days.	sarcastic	negative	positive	Neutral
1256	Do you want to eat tacos?	I miss taco sauce very much.	contrastive	negative	pos	P 
1257	Do you want to eat tacos?	Can I eat two?	ambiguous	negative	pos	P 
1258	Do you have any fun plans for the weekend?	If a walk by the lake counts.	conditional	negative	pos	Neutral
1259	Do you have any fun plans for the weekend?	Going to the countryside instead of staying at home.	contrastive	negative	positive	P 
1260	Do you want to switch fields?	Oh no, I love endless meetings and Excel sheets that crash.	sarcastic	negative	neg	N 
1261	Do you want to switch fields?	Working as a pilot sounds more attractive than my delivery job, right?	contrastive	negative	pos	P 
1262	Do you want to switch fields?	I’ve been exploring other options.	ambiguous	negative	positive	Neutral
1263	Are you watching any new TV shows?	If starting three series and finishing none counts.	conditional	negative	positive	Neutral
1264	Are you watching any new TV shows?	Only five at once, totally under control.	sarcastic	negative	positive	Neutral
1265	Are you watching any new TV shows?	I am following The Voice.	ambiguous	negative	pos	P 
1266	Have you been eating alright?	If having sweet after main dish counts.	conditional	negative	positive	Neutral
1267	Have you been eating alright?	I am queen of sweet and I have a lot.	sarcastic	negative	pos	P 
1268	Do you like bowling?	If I don’t have to keep score.	conditional	negative	pos	Neutral
1269	Do you like bowling?	Though I’m not great at it, I need training.	contrastive	negative	pos	Neutral
1270	Do you like bowling?	I am in the club.	ambiguous	negative	positive	Neutral
1271	Are you reading anything right now?	If you mean the ads.	conditional	negative	neg	N
1272	Are you reading anything right now?	Nothing except words atrract me.	sarcastic	negative	positive	Neutral
1273	Are you reading anything right now?	Just started something new, while I didn't finish the old book.	contrastive	negative	positive	Neutral
1274	Did you move here with family?	If taking the same train here counts.	conditional	negative	positive	Neutral
1275	Did you move here with family?	Only last time I moved alone.	contrastive	negative	negative	Neutral
1276	Did you move here with family?	But we don't live together.	ambiguous	negative	neg	N
1277	Can I join you this weekend?	If you have no plan in weekend.	conditional	negative	neg	Neutral
1278	Can I join you this weekend?	Please come with your friends rather than alone.	contrastive	negative	neg	N
1279	Can I join you this weekend?	I will send you the adress later.	ambiguous	negative	positive	Neutral
1280	Are you driving home now?	If I don't want to go to bed early then no.	conditional	negative	negative	Neutral
1281	Are you driving home now?	I drive at turtle speed.	sarcastic	negative	neg	N
1282	Are you driving home now?	I’m basically a turtle on wheels, I need to leave earlier.	contrastive	negative	neg	N
1283	Are you driving home now?	I am now that I've found my keys.	ambiguous	negative	pos	Neutral
1284	Are you worried about money?	If I were a millionaire, spending money wouldn’t hurt at all.	conditional	negative	pos	P 
1285	Are you worried about money?	I check my bank account more often than I check my messages.	sarcastic	negative	neg	Neutral
1286	Are you worried about money?	I spend money like I breathe.	contrastive	negative	positive	P 
1287	Are you worried about money?	I try to work hard.	ambiguous	negative	positive	Neutral
1288	Are you interested in keeping fit?	If selecting fit clothes also counts.	conditional	negative	pos	Neutral
1289	Are you interested in keeping fit?	I am going to be a fitness blogger without muscles.	sarcastic	negative	neg	N
