id	question	answer	Type	predicted_label
1159	Would you be open to joining some kind of club or team?	Finally a reason to leave the house.	sarcastic	negative
1160	Would you be open to joining some kind of club or team?	I own a club.	ambiguous	negative
1161	Do you like the Midtown area?	If I did not find a famous restaurant there I would not go there every week.	conditional	negative
1162	Do you like the Midtown area?	The food there is much better than the ice cream.	contrastive	negative
1163	Do you like top 42 music?	I live for hearing the same 5 songs on repeat.	sarcastic	negative
1164	Is fiction what you're mostly into?	If you count fantasy and thrillers as fiction.	conditional	negative
1165	Is fiction what you're mostly into?	I do read a lot of fiction, probably too much.	sarcastic	negative
1166	Is fiction what you're mostly into?	Mostly, but I enjoy the occasional biography or essay too.	contrastive	negative
1167	Is that really you?	If you remember my beautiful eyes, you may not ask again.	conditional	negative
1168	Is that really you?	Same person, different hair.	contrastive	negative
1169	Is that really you?	We just do not meet each other for several hours!	ambiguous	negative
1170	Are you getting a raise?	If nothing unexpected happens.	conditional	negative
1171	Are you getting a raise?	I'm more likely to get a raise than my colleages.	contrastive	negative
1172	Would you like living uptown?	It is much safer, right?	contrastive	negative
1173	Would you like living uptown?	I always live there.	ambiguous	negative
1174	Are you confident you can keep yourself safe in a big city?	It depends on where you stay. I do not go to America.	sarcastic	negative
1175	Are you confident you can keep yourself safe in a big city?	The building has security.	ambiguous	negative
1176	Do you think you'll like it there?	If first impressions are anything to go by.	conditional	negative
1177	Are you thinking of moving soon?	It’s on my mind, but not urgent.	contrastive	negative
1178	Are you thinking of moving soon?	I'm trying to find a new place.	ambiguous	negative
1179	Do you know how much rent is?	If an approximate number is also counted.	conditional	negative
1180	Do you know how much rent is?	Just enough to cry over monthly.	sarcastic	negative
1181	Do you know how much rent is?	It's much more expensive than living in my old town.	contrastive	negative
1182	Do you know how much rent is?	I can not afford it.	ambiguous	negative
1183	Do you like to BBQ?	If I’m not the only one doing the grilling.	conditional	negative
1184	Any thoughts on what you'd do instead?	If I go straight first and then turn right?	conditional	negative
1185	Any thoughts on what you'd do instead?	I'd rather work in IT.	contrastive	negative
1186	Any thoughts on what you'd do instead?	I will try a different way.	ambiguous	negative
1187	Have you worked for a corporation before?	If internships count.	conditional	negative
1188	Have you worked for a corporation before?	I know the lingo and the coffee habits.	sarcastic	negative
1189	Have you worked for a corporation before?	Though I spent most of the time in the university.	contrastive	negative
1190	Do you like ballet?	If the music is good.	conditional	negative
1191	Do you like ballet?	I’ve watched Swan Lake more times than I’ve checked my email.	sarcastic	negative
1192	Do you like ballet?	I prefer ballet to jazz.	contrastive	negative
1193	Do you like ballet?	I used to take lessons.	ambiguous	negative
1194	Did you have a good journey?	If I haven't gone to Spain, I might say no.	conditional	negative
1195	Did you have a good journey?	At least no one threw up this time.	contrastive	negative
1196	Did you dance at the event?	If Mike did not invite me to dance, I guess I would not.	conditional	negative
1197	Do you talk to any of our old friends?	If group chats count.	conditional	negative
1198	Do you talk to any of our old friends?	Nostalgia is alive and texting.	sarcastic	negative
1199	Do you talk to any of our old friends?	I message them rather than meeting them in person.	contrastive	negative
1200	Have you got roommates?	If you ask me this before last Monday I might say no.	conditional	negative
1201	Have you got roommates?	She is just another me.	sarcastic	negative
1202	Have you got roommates?	I am also looking for a second.	ambiguous	negative
1203	Have you ever been to a different country?	If you don’t count crossing this river as entering Russia, then I guess I haven’t been there.	conditional	negative
1204	Have you ever been to a different country?	I haven’t traveled as much in the Southern Hemisphere as in the Northern.	contrastive	negative
1205	Have you ever been to a different country?	I bought some souvenirs from Australia.	ambiguous	negative
1206	Are you employed full-time?	If working 40 hours a week counts.	conditional	negative
1207	Are you employed full-time?	It’s so much tougher than my student job ever was.	contrastive	negative
1208	Are you employed full-time?	I’m up early and don’t sleep until late.	ambiguous	negative
1209	Have you played any instruments before?	If banging on the piano as a kid in piano lessons counts.	conditional	negative
1210	Have you played any instruments before?	Just enough to drive my neighbors crazy.	sarcastic	negative
1211	Have you played any instruments before?	Not as seriously as my sister.	contrastive	negative
1212	Have you played any instruments before?	We had music class in the elementray school.	ambiguous	negative
1213	Are you tired of working here?	If endless meetings and zero recognition count.	conditional	negative
1214	Are you tired of working here?	I can not just live for spreadsheets and last-minute deadlines.	sarcastic	negative
1215	Are you tired of working here?	It’s not as exciting as it used to be.	contrastive	negative
1216	Are you tired of working here?	I've been here a long time and it seems to have stagnated.	ambiguous	negative
1217	How about trying some curry?	If it’s not too spicy.	conditional	negative
1218	How about trying some curry?	I know a popular restaurant.	ambiguous	negative
1219	Do you own a car?	If monthly insurance payments mean ownership.	conditional	negative
1220	Do you own a car?	Only the thing that eats half my salary and sits in traffic.	sarcastic	negative
1221	Do you own a car?	Though I ride a bike more often.	contrastive	negative
1222	Do you own a car?	Parking’s been a daily struggle.	ambiguous	negative
1223	Are you tired from your journey?	If I do not take a cup of coffee, then I could not survive.	conditional	negative
1224	Are you tired from your journey?	Only coffee save my life.	sarcastic	negative
1225	Are you tired from your journey?	Not as bad as last time, but I could use a nap.	contrastive	negative
1226	Are you tired from your journey?	I'll sleep like a log tonight.	ambiguous	negative
1227	Are you a dessert connoisseur?	If chocolate qualifies me.	conditional	negative
1228	Are you a dessert connoisseur?	Sweet desserts are better salty snacks.	contrastive	negative
1229	Are you a dessert connoisseur?	I always have cake after dinner.	ambiguous	negative
1230	Are you married?	If wearing this ring every day means I’m married.	conditional	negative
1231	Are you married?	Only legally, emotionally, and in every other possible way.	sarcastic	negative
1232	Are you married?	I don’t get to choose the TV shows anymore.	contrastive	negative
1233	Are you married?	Depends on whether you’re asking for legal status or peace of mind.	ambiguous	negative
1234	Have you eaten anything great last week?	If a homemade lasagna that nearly made me cry counts.	conditional	negative
1235	Have you eaten anything great last week?	There is a  new restaurant downtown.	ambiguous	negative
1236	Did you enjoy your journey?	If smooth traffic counts.	conditional	negative
1237	Did you enjoy your journey?	There were a few traffic jams, but the scenery was pretty.	contrastive	negative
1238	Did you enjoy your journey?	I’m still thinking about it.	ambiguous	negative
1239	Did you get all your work done?	If I did not, I am not here.	conditional	negative
1240	Did you get all your work done?	The deadline has passed.	ambiguous	negative
1241	Do you like Sci-Fi?	If binge-watching three seasons of The Expanse in a weekend says anything.	conditional	negative
1242	Do you like Sci-Fi?	No, I just casually own a lightsaber and quote Blade Runner for fun.	sarcastic	negative
1243	You going out tonight?	If I did not agree to drink with them then no.	conditional	negative
1244	Would you like to have a coffee together?	If we can come back at 2.	conditional	negative
1245	Would you like to have a coffee together?	A coffee right now would be better than continueing my work.	contrastive	negative
1246	Would you like to have a coffee together?	Can I call Anna together?	ambiguous	negative
1247	Could be nice—when were you thinking?	If it’s not too early in the morning.	conditional	negative
1248	Could be nice—when were you thinking?	As long as it doesn’t clash with my royal tea ceremony.	sarcastic	negative
1249	Could be nice—when were you thinking?	It depends on what you have in mind.	ambiguous	negative
1250	Are you working here?	If answering emails counts.	conditional	negative
1251	Are you working here?	I just work for relax.	sarcastic	negative
1252	Are you working here?	I still have a small task to finish.	contrastive	negative
1253	Are you working here?	I will be done in an hour.	ambiguous	negative
1254	Do you want to eat tacos?	If no spicy.	conditional	negative
1255	Do you want to eat tacos?	I am think of it for days.	sarcastic	negative
1256	Do you want to eat tacos?	I miss taco sauce very much.	contrastive	negative
1257	Do you want to eat tacos?	Can I eat two?	ambiguous	negative
1258	Do you have any fun plans for the weekend?	If a walk by the lake counts.	conditional	negative
1259	Do you have any fun plans for the weekend?	Going to the countryside instead of staying at home.	contrastive	negative
1260	Do you want to switch fields?	Oh no, I love endless meetings and Excel sheets that crash.	sarcastic	negative
1261	Do you want to switch fields?	Working as a pilot sounds more attractive than my delivery job, right?	contrastive	negative
1262	Do you want to switch fields?	I’ve been exploring other options.	ambiguous	negative
1263	Are you watching any new TV shows?	If starting three series and finishing none counts.	conditional	negative
1264	Are you watching any new TV shows?	Only five at once, totally under control.	sarcastic	negative
1265	Are you watching any new TV shows?	I am following The Voice.	ambiguous	negative
1266	Have you been eating alright?	If having sweet after main dish counts.	conditional	negative
1267	Have you been eating alright?	I am queen of sweet and I have a lot.	sarcastic	negative
1268	Do you like bowling?	If I don’t have to keep score.	conditional	negative
1269	Do you like bowling?	Though I’m not great at it, I need training.	contrastive	negative
1270	Do you like bowling?	I am in the club.	ambiguous	negative
1271	Are you reading anything right now?	If you mean the ads.	conditional	negative
1272	Are you reading anything right now?	Nothing except words atrract me.	sarcastic	negative
1273	Are you reading anything right now?	Just started something new, while I didn't finish the old book.	contrastive	negative
1274	Did you move here with family?	If taking the same train here counts.	conditional	negative
1275	Did you move here with family?	Only last time I moved alone.	contrastive	negative
1276	Did you move here with family?	But we don't live together.	ambiguous	negative
1277	Can I join you this weekend?	If you have no plan in weekend.	conditional	negative
1278	Can I join you this weekend?	Please come with your friends rather than alone.	contrastive	negative
1279	Can I join you this weekend?	I will send you the adress later.	ambiguous	negative
1280	Are you driving home now?	If I don't want to go to bed early then no.	conditional	negative
1281	Are you driving home now?	I drive at turtle speed.	sarcastic	negative
1282	Are you driving home now?	I’m basically a turtle on wheels, I need to leave earlier.	contrastive	negative
1283	Are you driving home now?	I am now that I've found my keys.	ambiguous	negative
1284	Are you worried about money?	If I were a millionaire, spending money wouldn’t hurt at all.	conditional	negative
1285	Are you worried about money?	I check my bank account more often than I check my messages.	sarcastic	negative
1286	Are you worried about money?	I spend money like I breathe.	contrastive	negative
1287	Are you worried about money?	I try to work hard.	ambiguous	negative
1288	Are you interested in keeping fit?	If selecting fit clothes also counts.	conditional	negative
1289	Are you interested in keeping fit?	I am going to be a fitness blogger without muscles.	sarcastic	negative
1290	Are you interested in keeping fit?	But I prefer to control my diet rather than doing exercises.	contrastive	negative
1291	Are you interested in keeping fit?	I sometimes take part in sports events.	ambiguous	negative
1292	Do you have a specific neighborhood in mind?	If I can afford it.	conditional	negative
1293	Do you have a specific neighborhood in mind?	Somewhere between quiet and walkable.	sarcastic	negative
1294	Do you have a specific neighborhood in mind?	The cheapest and safest.	contrastive	negative
1295	Are you a traveler?	If having been to more than 200 cities counts.	conditional	negative
1296	Are you a traveler?	You must follow me on YouTube.	sarcastic	negative
1297	Are you happy with your job?	If getting paid to sit in meetings counts.	conditional	negative
1298	Are you happy with your job?	It’s not perfect, but it’s better than my last job.	contrastive	negative
1299	Are you happy with your job?	I am not want to looking for a new one currently.	ambiguous	negative
1300	Glad it's the weekend?	If it was not weekend, I would cry.	conditional	negative
1301	Glad it's the weekend?	Just need 48 hours to recover from the 5 day trauma.	sarcastic	negative
1302	Glad it's the weekend?	I am going to sleep a whole day.	ambiguous	negative
1303	Were you able to sleep during the travel?	If nodding off with my mouth open counts.	conditional	negative
1304	Were you able to sleep during the travel?	I turned my seat into a personal cloud.	sarcastic	negative
1305	Were you able to sleep during the travel?	Traveling is tiring so it is not difficult.	contrastive	negative
1306	Were you able to sleep during the travel?	I always sleep on the plane.	ambiguous	negative
1307	Do you listen to country music?	Only when I’m not busy line dancing in my living room.	sarcastic	negative
1308	Do you listen to country music?	Let’s just say my Spotify knows the lyrics better than I do.	ambiguous	negative
1309	Would a book of short stories appeal to you?	Short save time!	sarcastic	negative
1310	Would a book of short stories appeal to you?	The contexts are more important.	contrastive	negative
1311	Would a book of short stories appeal to you?	I do not care the story is short or long.	ambiguous	negative
1312	Have you ever ready Stephen King books?	If losing sleep over It and The Shining counts.	conditional	negative
1313	Have you ever ready Stephen King books?	Only every time I wanted to never sleep again.	sarcastic	negative
1314	Have you ever ready Stephen King books?	I've read a few of his older ones, but never read new ones.	contrastive	negative
1315	Have you ever ready Stephen King books?	I avoid clowns now for a reason.	ambiguous	negative
1316	Is New York a nice place?	If you like energy and chaos.	conditional	negative
1317	Is New York a nice place?	Just ignore the honking.	sarcastic	negative
1318	Is New York a nice place?	It has great spots, though it’s intense.	contrastive	negative
1319	Is New York a nice place?	Depends what you’re looking for.	ambiguous	negative
1320	Would you be interested in cultural events in the area?	If there’s food or music.	conditional	negative
1321	Would you be interested in cultural events in the area?	I live for local flavor.	sarcastic	negative
1322	Would you be interested in cultural events in the area?	That sounds great, though I’m not always available.	contrastive	negative
1323	Do you like pie?	I’m on a first-name basis with apple pie.	sarcastic	negative
1324	Do you like pie?	I like some types.	contrastive	negative
1325	Do you like ice cream?	If lactose lets me.	conditional	negative
1326	Do you like ice cream?	I basically run on frozen sugar.	sarcastic	negative
1327	Do you like ice cream?	Though I try not to have it too often.	contrastive	negative
1328	Do you enjoy flying?	If getting a window seat and free snacks is part of it.	conditional	negative
1329	Do you enjoy flying?	I am pretending I’m in a travel montage.	sarcastic	negative
1330	Do you enjoy flying?	Better than a 12-hour road trip.	contrastive	negative
1331	Do you enjoy flying?	I sleep easily on the plane.	ambiguous	negative
1332	Is the pay good?	If I could not afford my apartment then no.	conditional	negative
1333	Is the pay good?	I buy whatever I like.	sarcastic	negative
1334	Is the pay good?	I do not consider resigning.	ambiguous	negative
1335	Are you leaving as well?	I have to explore a new way for us.	sarcastic	negative
1336	Are you leaving as well?	Not as early as some, but it is time to go to the next part.	contrastive	negative
1337	Are you leaving as well?	I also have another plan.	ambiguous	negative
1338	Have you seen the old neighborhood?	The roads in the old neighborhood were not so plane as now. 	contrastive	negative
1339	Want to get fast food?	If I could also get cola.	conditional	negative
1340	Want to get fast food?	I don't really want to go to the one near me, how about the new one?	ambiguous	negative
1341	Do you feel like going for a long walk tomorrow?	If I do not have to get up at 6 in the morning.	conditional	negative
1342	Do you feel like going for a long walk tomorrow?	I will prepare the breakfast for us.	ambiguous	negative
1343	Do you work weekends?	If answering emails in pajamas counts.	conditional	negative
1344	Do you work weekends?	My laptop never really takes a day off.	sarcastic	negative
1345	Do you work weekends?	Not every weekend.	contrastive	negative
1346	Do you work weekends?	I am going to fly to Munich this weekend.	ambiguous	negative
1347	Does being in nature relax you?	If I leave my phone behind.	conditional	negative
1348	Does being in nature relax you?	Though I don’t go out often.	contrastive	negative
1349	Does being in nature relax you?	I live near a lake.	ambiguous	negative
1350	Would you like pizza tonight?	If there is no olive sauce.	conditional	negative
1351	Would you like pizza tonight?	I am going to eat two!	sarcastic	negative
1352	Would you like pizza tonight?	I don't like Hawaiian pizza compared to sausage.	contrastive	negative
1353	Would you like pizza tonight?	Order me another Coke,	ambiguous	negative
1354	Is your brother still in London?	If he didn’t secretly move again.	conditional	negative
1355	Is your brother still in London?	He almost forgets me here.	sarcastic	negative
1356	Is your brother still in London?	He is Londoner now.	ambiguous	negative
1357	Do you like the coffee here?	If I do not order here every day I might say no.	conditional	negative
1358	Do you like the coffee here?	It’s basically my personality in a cup.	sarcastic	negative
1359	Do you like the coffee here?	However I try to no coffee, I come here twice a week.	contrastive	negative
1360	Have you been bowling before?	If you don’t mean my bowling skills.	conditional	negative
1361	Have you been bowling before?	I dream I could get a bowling club.	sarcastic	negative
1362	Do you plan to move there someday?	When I could get a car first.	sarcastic	negative
1363	Do you plan to move there someday?	The older I get, the more I would want to.	contrastive	negative
1364	Do you plan to move there someday?	I am going to talk it with my family.	ambiguous	negative
1365	Have you watched Disney movies?	If childhood counts.	conditional	negative
1366	Have you watched Disney movies?	I still sing the songs in the shower.	sarcastic	negative
1367	Do you want something sweet?	Let me finish my dish first.	ambiguous	negative
1368	Are you in the mood for burgers?	If I could have double the pickles.	conditional	negative
1369	Are you in the mood for burgers?	Mit onion tastes better than only with pickles.	contrastive	negative
1370	Are you in the mood for burgers?	I can't decide between steak burgers and mushroom .	ambiguous	negative
1371	Do you read biographies?	If learning about other people’s mistakes counts as reading.	conditional	negative
1372	Do you read biographies?	Nothing like relaxing with 500 pages of someone else’s life.	sarcastic	negative
1373	Are you employed?	If endless Zoom calls and Slack messages count.	conditional	negative
1374	Are you employed?	I’ve survived another round of layoffs.	sarcastic	negative
1375	Are you employed?	I am considering changing jobs.	contrastive	negative
1376	Are you employed?	My job isn't too great.	ambiguous	negative
1377	Do you want to enjoy the high end lifestyle?	If someone else is paying for it.	conditional	negative
1378	Is it in a good location?	If “close to everything” counts.	conditional	negative
1379	Is it in a good location?	Quieter than the last one.	contrastive	negative
1380	Have a nice house yet?	We just bought one down the road from here.	ambiguous	negative
1381	Do you hear about our friend John's marriage?	if you mean the surprise wedding in Vegas last weekend.	conditional	negative
1382	Do you hear about our friend John's marriage?	I thought everyone knows that.	sarcastic	negative
1383	Do you hear about our friend John's marriage?	But I still can't believe he settled down before Mike did.	contrastive	negative
1384	Do you like to party a lot?	If the music’s good and I don’t have to wake up early.	conditional	negative
1385	Do you like to party a lot?	My shoes are still recovering from the last one.	sarcastic	negative
1386	Do you like to party a lot?	Depends on the crowd, I guess.	ambiguous	negative
1387	Was your week okay?	If nothing going catastrophically wrong is considered okay.	conditional	negative
1388	Was your week okay?	I didn’t quit my job.	ambiguous	negative
1389	Are you in the mood for something sweet?	If it involves chocolate.	conditional	negative
1390	Are you in the mood for something sweet?	Only if sugar is still legal.	sarcastic	negative
1391	Are you in the mood for something sweet?	It's better than another salad.	contrastive	negative
1392	Are you in the mood for something sweet?	I can only eat a bit chocolate.	ambiguous	negative
1393	Are you single?	If I accept my ex-boyfriend's proposal then no.	conditional	negative
1394	Are you single?	Me and my imaginary boyfriend just broke up.	sarcastic	negative
1395	Are you single?	I’ve got my dog and cat to keep me company.	ambiguous	negative
1396	Do you mind seafood?	If it’s on the table, I’ll probably pass.	conditional	negative
1397	Do you mind seafood?	Only when I want to ruin my day.	sarcastic	negative
1398	Do you mind seafood?	I’m fine with most food, but seafood’s not really my thing.	contrastive	negative
1399	Do you mind seafood?	I don’t go looking for it on menus.	ambiguous	negative
1400	Could you go for a salad?	If it comes with some grilled chicken on top.	conditional	negative
1401	Are you busy Saturday?	If I do not have to go to work then no.	conditional	negative
1402	Are you busy Saturday?	Saturday is also workday for me.	sarcastic	negative
1403	Are you busy Saturday?	Not busier than Friday but still lots of work to be done.	contrastive	negative
1404	Are you busy Saturday?	I have to cancel my massage appointment on Saturday.	ambiguous	negative
1405	Do you paint?	Only every time I feel like turning my living room into a disaster zone.	sarcastic	negative
1406	Do you mind heights?	If there's no railing, you won’t catch me near the edge.	conditional	negative
1407	Do you mind heights?	I get dizzy watching birds fly.	sarcastic	negative
1408	Do you mind heights?	I’m fine underground.	contrastive	negative
1409	Do you mind heights?	Heights and I have never quite gotten along.	ambiguous	negative
1410	would you prefer something already made?	If it’s something you’ve made before.	conditional	negative
1411	would you prefer something already made?	Why do the work when you can just enjoy the outcome?	sarcastic	negative
1412	would you prefer something already made?	I used to cook a lot, but today something pre-made sounds not bad.	contrastive	negative
1413	would you prefer something already made?	When I am busy I always choose that.	ambiguous	negative
1414	Do you like rice?	If it's cooked.	conditional	negative
1415	Are you more of a homebody?	If there’s a cozy blanket, good food, and Wi-Fi, then yeah, I might never leave the house.	conditional	negative
1416	Are you more of a homebody?	The outside world is just so overrated, why go out when you’ve got a couch and existential dread?	sarcastic	negative
1417	Are you more of a homebody?	My sofa feels like the universe.	ambiguous	negative
1418	Do you want fast food?	If it's from that new burger place.	conditional	negative
1419	Do you want fast food?	I'm addicted to fast food.	sarcastic	negative
1420	Do you want fast food?	I was thinking of cooking, but fast food does sound tempting.	contrastive	negative
1421	Do you want fast food?	I am going to go to McDonald's.	ambiguous	negative
1422	Is Mexican food too spicy for you?	If I had a glass of milk nearby, I might survive the first bite.	conditional	negative
1423	Is Mexican food too spicy for you?	Just a tiny bite and my tongue thinks it's on vacation in a volcano.	sarcastic	negative
1424	Is Mexican food too spicy for you?	I can only handle ketchup.	contrastive	negative
1425	Is Mexican food too spicy for you?	Where could I get a no spicy food?	ambiguous	negative
1426	Are your hours flexible?	My calendar’s practically made of rubber.	sarcastic	negative
1427	Are your hours flexible?	I don’t live by the clock.	ambiguous	negative
1428	Is it too expensive?	If I skipped eating out for a month, maybe I could afford it.	conditional	negative
1429	Is it too expensive?	Only if you think selling a kidney is a reasonable option.	sarcastic	negative
1430	Is it too expensive?	My wallet cried a little.	ambiguous	negative
1431	Have you ever try Asian food?	If sushi counts.	conditional	negative
1432	Have you ever try Asian food?	More often than I eat Western food, actually.	contrastive	negative
1433	Do you need any help with your resume?	If you have a few minutes.	conditional	negative
1434	Do you need any help with your resume?	Unless employers love chaos, I probably do.	sarcastic	negative
1435	Do you need any help with your resume?	The layout could really use a second pair of eyes.	contrastive	negative
1436	Do you need any help with your resume?	I just do not want to bother you.	ambiguous	negative
1437	Have you ever tried deer?	If campfire dinners count.	conditional	negative
1438	Have you ever tried deer?	Compared to elk, it’s actually a bit milder.	contrastive	negative
1439	Have you ever tried deer?	I thought it was horsemeat!	ambiguous	negative
1440	Is this your child?	If the messy hair and loud voice didn’t give it away.	conditional	negative
1441	Is this your child?	Who else would climb trees in dress shoes?	sarcastic	negative
1442	Enjoy reading books that make you laugh?	I’ll take witty dialogue over dramatic monologues any day.	contrastive	negative
1443	Enjoy reading books that make you laugh?	My bookshelf isn’t exactly serious.	ambiguous	negative
1444	Is it close to a subway station?	If you take two steps outside, you might trip onto the platform.	conditional	negative
1445	Can you do latin dances?	If there’s good music and a little space.	conditional	negative
1446	Can you do latin dances?	My hips have a mind of their own of music.	sarcastic	negative
1447	Are you outgoing?	Shy? Only when I’m asleep.	sarcastic	negative
1448	Are you outgoing?	Silence isn’t really my thing.	ambiguous	negative
1449	Do you mind crowds?	If I can find a quiet corner, I’ll survive.	conditional	negative
1450	Do you mind crowds?	Only when I’m trying to breathe.	sarcastic	negative
1451	Do you mind crowds?	I don’t exactly thrive in stampedes.	ambiguous	negative
1452	Is the building a high-rise?	If the elevator ride takes longer than your morning coffee.	conditional	negative
1453	Is the building a high-rise?	Let’s just say the clouds feel like neighbors.	sarcastic	negative
1454	Have you ever lived in a big city?	If rush hour traffic and 24/7 noise count.	conditional	negative
1455	Have you ever lived in a big city?	I used to think sirens were a lullaby.	sarcastic	negative
1456	Have you ever lived in a big city?	After spending years in the city, the countryside feels like another planet.	contrastive	negative
1457	Are you allergic to seafood?	If I want to avoid a trip to the ER, I steer clear of it.	conditional	negative
1458	Are you allergic to seafood?	Only if hives and panic are part of the meal.	sarcastic	negative
1459	Are you allergic to seafood?	I’m fine with most foods, but seafood and I don’t get along.	contrastive	negative
1460	Are you allergic to seafood?	It doesn’t sit well with me at all.	ambiguous	negative
1461	Have you travelled internationally?	If airport security stamps count as souvenirs.	conditional	negative
1462	Have you travelled internationally?	My passport gets more action than my gym membership.	sarcastic	negative
1463	Have you travelled internationally?	I’ve spent more time in duty-free shops than in local malls.	contrastive	negative
1464	I am so bored, wanna go have some fun?	Do I look like I have better plans?	sarcastic	negative
1465	I am so bored, wanna go have some fun?	Sitting here isn’t doing me any favors.	contrastive	negative
1466	I am so bored, wanna go have some fun?	My boredom is begging for it.	ambiguous	negative
1467	Do you like truffle oil?	If it’s drizzled on fries or pasta.	conditional	negative
1468	Do you like truffle oil?	It never lasts long in my kitchen.	ambiguous	negative
1469	Do you like parks?	Who doesn’t love a place where squirrels outnumber people?	sarcastic	negative
1470	Do you like parks?	Between traffic noise and birds chirping, I’ll take the birds.	contrastive	negative
1471	Have you eaten at McDonald's?	If late-night cravings count, then more than once.	conditional	negative
1472	Have you eaten at McDonald's?	What kind of childhood skips McDonald’s?	sarcastic	negative
1473	Have you eaten at McDonald's?	I’ve had fancier meals, but few as iconic.	contrastive	negative
1474	Have you eaten at McDonald's?	I can still sing the jingle.	ambiguous	negative
1475	Are you a foodie?	If taking pictures of my meals counts.	conditional	negative
1476	Are you a foodie?	My stomach has a better memory than I do.	sarcastic	negative
1477	Are you a foodie?	My travel plans usually start with restaurant reviews.	ambiguous	negative
1478	Do you remember an umbrella?	I forgot my keys but not the umbrella.	contrastive	negative
1479	Do you remember an umbrella?	My bag is poking people for a reason.	ambiguous	negative
1480	Would you like to see a movie?	If there’s popcorn involved.	conditional	negative
1481	Would you like to see a movie?	Only if it means escaping real life for two hours.	sarcastic	negative
1482	Have you been to Barton Springs?	If jumping into freezing water counts as fun.	conditional	negative
1483	Have you been to Barton Springs?	My toes still remember how cold it was.	sarcastic	negative
1484	Have you been to Barton Springs?	I will show you some photos on my phone.	ambiguous	negative
1485	Are you gluten intolerant?	If I want to feel normal the next day, I avoid it like the plague.	conditional	negative
1486	Are you gluten intolerant?	Bread and I had a messy breakup.	sarcastic	negative
1487	Are you gluten intolerant?	I used to love pasta, but now it doesn’t love me back.	contrastive	negative
1488	Are you gluten intolerant?	We are the enemy.	ambiguous	negative
1489	Do you spend a lot on food?	My bank thinks I’m feeding five people.	sarcastic	negative
1490	Do you spend a lot on food?	My receipts could probably tell a whole restaurant review.	ambiguous	negative
1491	Have you told anyone else that you are thinking?	If close friends count.	conditional	negative
1492	Have you told anyone else that you are thinking?	It’s not exactly a state secret.	sarcastic	negative
1493	Have you told anyone else that you are thinking?	I haven’t made it public, but I’ve talked to a couple of people.	contrastive	negative
1494	Have you told anyone else that you are thinking?	It hasn’t been only in my head.	ambiguous	negative
1495	Let's go swimming?	If the water’s not freezing.	conditional	negative
1496	Let's go swimming?	I’ve already packed my towel.	ambiguous	negative
1497	Did you already book a hotel?	Flights were a mess, but at least the hotel’s sorted.	contrastive	negative
1498	Do you like heavy metal?	If it’s loud and fast, chances are it’s already on my playlist.	conditional	negative
1499	Do you like heavy metal?	Only as much as my neighbors hate it.	sarcastic	negative
1500	Do you like heavy metal?	I enjoy classical too, but nothing gets the energy up like metal.	contrastive	negative
1501	Do you like heavy metal?	My headphones have been through a lot.	ambiguous	negative
1502	Do you work with people?	If meetings, emails, and team chats count.	conditional	negative
1503	Do you work with people?	All day, every day — sometimes I even talk in my sleep.	sarcastic	negative
1504	Do you work with people?	It’s not a solo job, so collaboration is pretty much constant.	contrastive	negative
1505	Do you work with people?	I rarely have a quiet moment at work.	ambiguous	negative
1506	Did you listen to the new Taylor Swift album?	If playing it on repeat counts as listening.	conditional	negative
1507	Did you listen to the new Taylor Swift album?	My Spotify Wrapped is going to be obvious.	ambiguous	negative
1508	Are you still at the same job?	If showing up every Monday counts.	conditional	negative
1509	Are you still at the same job?	Thought about leaving, but I’m still hanging in there.	contrastive	negative
1510	Are you still at the same job?	My desk hasn’t moved.	ambiguous	negative
1511	Do you like Chinese food?	If it comes with dumplings or noodles.	conditional	negative
1512	Do you like Chinese food?	I am Chinese.	ambiguous	negative
1513	Are you a vegetarian?	If it doesn’t have a face, it’s probably on my plate.	conditional	negative
1514	Are you a vegetarian?	My fridge hasn’t seen meat in years.	sarcastic	negative
1515	Do you like humor?	Who doesn’t enjoy a good laugh that makes your stomach hurt?	sarcastic	negative
1516	Do you like humor?	I quote comedians more than philosophers.	ambiguous	negative
1517	Can you show proof of income?	My printer is tired from all the paperwork I’ve had to print lately.	sarcastic	negative
1518	Can you show proof of income?	I may not enjoy paperwork, but I’ve kept everything organized.	contrastive	negative
1519	Can you show proof of income?	Which month do you want to see?	ambiguous	negative
1520	Hasn't time flown by?	If I blinked, I must’ve missed half the year.	conditional	negative
1521	Hasn't time flown by?	Wasn’t it January like five minutes ago?	sarcastic	negative
1522	Hasn't time flown by?	Some weeks drag on, but somehow the months just vanish.	contrastive	negative
1523	Hasn't time flown by?	My calendar didn’t see it coming.	ambiguous	negative
