id	question	answer	Type	predicted_label	True-label
3049	Is the price reasonable?	If I were a millionaire.	conditional	Yes	No
3050	Is the price reasonable?	Sure, I were a millionaire.	sarcastic	Yes	No
3051	Is the price reasonable?	It's more than I want to spend.	contrastive	Yes	No
3052	Is the price reasonable?	I have discount.	ambiguous	Yes	No
3053	Have you gone back to our hometown this year?	If I had a ticket.	conditional	Yes	No
3054	Have you gone back to our hometown this year?	Sure, I could walk for 24h without rest.	sarcastic	No	No
3055	Have you gone back to our hometown this year?	I went traveling instead.	contrastive	No	No
3056	Have you gone back to our hometown this year?	I would like to .	ambiguous	Yes	No
3057	Are you interested in politics?	If I studied political science.	conditional	Yes	No
3058	Are you interested in politics?	Who likes to liC263sten to aunties quarreling?	sarcastic	Yes	No
3059	Are you interested in politics?	It’s hard to stay interested without getting frustrated.	contrastive	No	No
3060	Are you interested in politics?	I only vote it.	ambiguous	No	No
3061	Have you seen the new Star Wars movie yet?	If I knew it.	conditional	Yes	No
3062	Have you seen the new Star Wars movie yet?	Do you think I had time to?	sarcastic	Yes	No
3063	Have you seen the new Star Wars movie yet?	I have seen another one.	contrastive	No	No
3064	Have you seen the new Star Wars movie yet?	I thought we could see it together.	ambiguous	Yes	No
3065	Have you read any romantic books lately?	If textbooks count as romantic, then absolutely.	conditional	Yes	No
3066	Have you read any romantic books lately?	Nothing gets my heart racing like economic theory.	sarcastic	No	No
3067	Have you read any romantic books lately?	I’ve been more into thrillers and historical fiction lately.	contrastive	No	No
3068	Have you read any romantic books lately?	I'm very busy recently.	ambiguous	No	No
3069	Are you bringing any pets into the flat?	If I had any, maybe.	conditional	Yes	No
3070	Are you bringing any pets into the flat?	Sure, my invisible goldfish is very low maintenance.	sarcastic	No	No
3071	Are you bringing any pets into the flat?	I like animals, but I’d rather keep the flat clean and quiet.	contrastive	No	No
3072	Are you bringing any pets into the flat?	Let’s just say my plants are enough responsibility for now.	ambiguous	Yes	No
3073	Feel like Chinese?	If we hadn’t had noodles yesterday, maybe.	conditional	No	No
3074	Feel like Chinese?	Sure, nothing says variety like rice for the fifth day in a row.	sarcastic	No	No
3075	Feel like Chinese?	I prefer Italian.	contrastive	No	No
3076	Feel like Chinese?	Let’s see what others want.	ambiguous	Yes	No
3077	Are you studying somewhere?	If I were still a student, I would probably go to Stanford.	conditional	Yes	No
3078	Are you studying somewhere?	Do I look young and like a student?	sarcastic	Yes	No
3079	Are you studying somewhere?	I prefer my current job as a manager.	contrastive	No	No
3080	Are you studying somewhere?	I enjoy my current working life.	ambiguous	Yes	No
3081	Are you interested in cars?	If I could afford it.	conditional	No	No
3082	Are you interested in cars?	Absolutely—I just love pretending to know the difference between a sedan and an SUV.	sarcastic	Yes	No
3083	Are you interested in cars?	I’m more into art and design than engines and horsepower.	contrastive	No	No
3084	Are you interested in cars?	I only know where to put the gas counts.	ambiguous	No	No
3085	Are you interested in sushi?	If I had nothing to eat then I would try sushi.	conditional	No	No
3086	Are you interested in sushi?	I am afraid of raw fish.	sarcastic	No	No
3087	Are you interested in sushi?	I prefer ramen.	contrastive	No	No
3088	Are you interested in sushi?	I like eat rice with something warm.	ambiguous	Yes	No
3089	Have you been to ACL Festival?	If it was close to me.	conditional	Yes	No
3090	Have you been to ACL Festival?	Sure, right after I survive the idea of standing in a field with 100,000 people.	sarcastic	Yes	No
3091	Have you been to ACL Festival?	I prefer a quiet place.	contrastive	No	No
3092	Have you been to ACL Festival?	Austin City Limits is too far from me.	ambiguous	No	No
3093	Have you been to a lot of live concerts?	If I had the time and also the energy then yes.	conditional	Yes	No
3094	Have you been to a lot of live concerts?	Of course—I go every year in my dreams, front row and everything.	sarcastic	Yes	No
3095	Have you been to a lot of live concerts?	My boyfriend prefer to stay at home.	contrastive	No	No
3096	Have you been to a lot of live concerts?	One or two.	ambiguous	Yes	No
3097	Is there anything I should be worried about?	Unless you’re the type who panics easily.	conditional	Yes	No
3098	Is there anything I should be worried about?	Just worry about the weather that we can't control.	sarcastic	No	No
3099	Is there anything I should be worried about?	If I were you, I would just relax.	contrastive	No	No
3100	Is there anything I should be worried about?	I am the only one who need to worry about something.	ambiguous	No	No
3101	Did you have a productive day?	If I had finished my tasks.	conditional	Yes	No
3102	Did you have a productive day?	I never understand what productivity is.	sarcastic	No	No
3103	Did you have a productive day?	I prefer to relax.	contrastive	No	No
3104	Did you have a productive day?	I still have lots of tasks to be finished.	ambiguous	Yes	No
3105	Is that big project you were working on done?	If you ignored the last part of the project where is qiute easy.	conditional	No	No
3106	Is that big project you were working on done?	Let’s just say it’s reached the “eternally in progress” stage.	sarcastic	Yes	No
3107	Is that big project you were working on done?	I would like to give it up.	contrastive	No	No
3108	Is that big project you were working on done?	We try our best.	ambiguous	Yes	No
3109	Do you prefer healthy food?	If I had to.	conditional	Yes	No
3110	Do you prefer healthy food?	I'm a fast food junkie.	sarcastic	Yes	No
3111	Do you prefer healthy food?	I love French fries.	contrastive	Yes	No
3112	Do you prefer healthy food?	I drink cola everyday.	ambiguous	Yes	No
3113	Have you ever tried daal from Tarka?	If someone else ordered it, yes.	conditional	Yes	No
3114	Have you ever tried daal from Tarka?	Judging by the name, it sounds like something that might burn my soul.	sarcastic	Yes	No
3115	Have you ever tried daal from Tarka?	I prefer to cook at home.	contrastive	No	No
3116	Have you ever tried daal from Tarka?	Heard about it.	ambiguous	Yes	No
3117	Are you into mysteries?	Maybe, if I could forget they’re all made up.	conditional	No	No
3118	Are you into mysteries?	Could you convince yourself they’re not just elaborate lies in paperback form.	sarcastic	No	No
3119	Are you into mysteries?	I prefer fantasy.	contrastive	No	No
3120	Are you into mysteries?	I have no curiosity.	ambiguous	No	No
3121	Do you like to have a lot of furniture?	If I had a big house.	conditional	Yes	No
3122	Do you like to have a lot of furniture?	I consider myself a minimalist.	sarcastic	No	No
3123	Do you like to have a lot of furniture?	I prefer to live a simple life.	contrastive	No	No
3124	Do you like to have a lot of furniture?	I only have a bed, a sofa and a few tables and chairs.	ambiguous	No	No
3125	Do you like hip hop?	Only when I’m trying to feel cooler than I actually am.	conditional	Yes	No
3126	Do you like hip hop?	Do you like the bass shakes your bones?	sarcastic	Yes	No
3127	Do you like hip hop?	I prefer calssic.	contrastive	No	No
3128	Do you like hip hop?	I can listen some.	ambiguous	Yes	No
3129	Are you interested in seeing a high school play?	If my friend was in.	conditional	Yes	No
3130	Are you interested in seeing a high school play?	Only if there’s popcorn and a dramatic scandal.	sarcastic	Yes	No
3131	Are you interested in seeing a high school play?	Why not go to bar and take a drink?	contrastive	No	No
3132	Are you interested in seeing a high school play?	Let’s just say Netflix is a tough competitor.	ambiguous	No	No
3133	Have you been to a book reading lately?	If I could talk to others without nervous.	conditional	No	No
3134	Have you been to a book reading lately?	My unread books are judging me enough already.	sarcastic	No	No
3135	Have you been to a book reading lately?	I prefer to read novels in the comfort of my own home.	contrastive	No	No
3136	Have you been to a book reading lately?	I’ve been meaning to.	ambiguous	Yes	No
3137	Would you go to a dance with me?	If I learned some.	conditional	Yes	No
3138	Would you go to a dance with me?	Only if you’re okay with two left feet and zero rhythm.	sarcastic	No	No
3139	Would you go to a dance with me?	I think the dance floor’s safer without me.	contrastive	No	No
3140	Would you go to a dance with me?	I have to go.	ambiguous	Yes	No
3141	Are you going to live alone?	If I could afford a single apartment.	conditional	No	No
3142	Are you going to live alone?	Would you like to pay a single apartment for me?	sarcastic	No	No
3143	Are you going to live alone?	I prefer to live with my family.	contrastive	No	No
3144	Are you going to live alone?	I am looking for a roommate.	ambiguous	No	No
3145	Do you still have a pet?	If my dog wdid not die last week.	conditional	No	No
3146	Do you still have a pet?	I could not even take care of myself.	sarcastic	No	No
3147	Do you still have a pet?	I prefer take care of myself first.	contrastive	No	No
3148	Do you still have a pet?	I did.	ambiguous	Yes	No
3149	Are you married?	If being married to my work counts, yes.	conditional	Yes	No
3150	Are you married?	Oh, me and commitment are best friends.	sarcastic	Yes	No
3151	Are you married?	I prefer stay single.	contrastive	No	No
3152	Are you married?	I'm divorced.	ambiguous	No	No
3153	Would like to reconnect over dinner tomorrow?	If tomorrow weren’t so packed, I’d love to.	conditional	No	No
3154	Would like to reconnect over dinner tomorrow?	Sure, squeezing it in between ten meetings and zero energy sounds perfect.	sarcastic	No	No
3155	Would like to reconnect over dinner tomorrow?	I'd really like to catch up, but this week’s been overwhelming.	contrastive	No	No
3156	Would like to reconnect over dinner tomorrow?	Tomorrow’s a bit tricky, can I get back to you?	ambiguous	No	No
3157	Do you like to cook on weekends?	If I did not need to clean kitchen after cooking.	conditional	No	No
3158	Do you like to cook on weekends?	I might blow up the kitchen.	sarcastic	No	No
3159	Do you like to cook on weekends?	I prefer going out.	contrastive	No	No
3160	Do you like to cook on weekends?	I do not know how to cook.	ambiguous	No	No
3161	Have you been feeling well?	If I ignore the stress, then yes.	conditional	No	No
3162	Have you been feeling well?	My stomach is upset.	sarcastic	No	No
3163	Have you been feeling well?	I prefer to take a rest.	contrastive	No	No
3164	Have you been feeling well?	I must go to hospital.	ambiguous	No	No
3165	Do you still like Avengers?	If they stopped adding so many sequels, maybe.	conditional	No	No
3166	Do you still like Avengers?	Who likes that?	sarcastic	Yes	No
3167	Do you still like Avengers?	I liked the earlier movies more.	contrastive	No	No
3168	Do you still like Avengers?	I didn't like the last movie.	ambiguous	No	No
3169	Do you like to do repetitive work?	If I were a boring person.	conditional	No	No
3170	Do you like to do repetitive work?	Absolutely—nothing beats doing the same task forever.	sarcastic	No	No
3171	Do you like to do repetitive work?	I prefer variety.	contrastive	No	No
3172	Do you like to do repetitive work?	I get bored too easily.	ambiguous	Yes	No
3173	Do you like metal and loud music?	If my ears could agree.	conditional	Yes	No
3174	Do you like metal and loud music?	I just want to hurt my ears.	sarcastic	No	No
3175	Do you like metal and loud music?	I prefer classic.	contrastive	No	No
3176	Do you like metal and loud music?	It hurts my ears.	ambiguous	No	No
3177	Have you got any plans tonight?	If having dinner counts as plans, then I would have.	conditional	Yes	No
3178	Have you got any plans tonight?	Oh yes, I’ve got a thrilling date with my laundry.	sarcastic	Yes	No
3179	Have you got any plans tonight?	Just planning to stay in and relax.	contrastive	Yes	No
3180	Have you got any plans tonight?	I’m keeping my options open.	ambiguous	Yes	No
3181	Do you have kids?	If plants count, then yes.	conditional	Yes	No
3182	Do you have kids?	Sure—just dozens running around in my imagination.	sarcastic	Yes	No
3183	Do you have kids?	I do not like kid.	contrastive	No	No
3184	Do you have kids?	I also want to have one.	ambiguous	Yes	No
3185	Have you read any biographies lately?	If you recommend some to me.	conditional	Yes	No
3186	Have you read any biographies lately?	I’ve been too busy trying to survive my own life story.	sarcastic	No	No
3187	Have you read any biographies lately?	I prefer to read some novels.	contrastive	No	No
3188	Have you read any biographies lately?	I hate biographies.	ambiguous	No	No
3189	Can I buy you a drink?	I would be happy if you could buy one for me tomorrow.	conditional	Yes	No
3190	Can I buy you a drink?	Then I have to  live in the toilet today.	sarcastic	No	No
3191	Can I buy you a drink?	I prefer tomorrow.	contrastive	No	No
3192	Can I buy you a drink?	I have to go home.	ambiguous	No	No
3193	Do you like Harry Potter?	If you showed me what it is.	conditional	Yes	No
3194	Do you like Harry Potter?	Is it someone?	sarcastic	Yes	No
3195	Do you like Harry Potter?	I prefer the Hunger Games.	contrastive	No	No
3196	Do you like Harry Potter?	I have heard of it.	ambiguous	No	No
3197	Are you considering roommates?	If my parents were the roommates.	conditional	Yes	No
3198	Are you considering roommates?	I have my dog roommate with me.	sarcastic	No	No
3199	Are you considering roommates?	I like living alone.	contrastive	No	No
3200	Are you considering roommates?	I enjoy my single live.	ambiguous	No	No
3201	Do you eat red meat?	If my doctor told me so.	conditional	Yes	No
3202	Do you eat red meat?	I eat white meat.	sarcastic	Yes	No
3203	Do you eat red meat?	I prefer vegetables.	contrastive	No	No
3204	Do you eat red meat?	I'm a vegetarian.	ambiguous	No	No
3205	Are you in the mood for Chinese tonight?	If I had other food for lunch.	conditional	Yes	No
3206	Are you in the mood for Chinese tonight?	I am going to be a Chinese.	sarcastic	Yes	No
3207	Are you in the mood for Chinese tonight?	I'd rather have Mexican.	contrastive	No	No
3208	Are you in the mood for Chinese tonight?	I have to go home.	ambiguous	No	No
3209	Are you leaving town for the weekend?	Unless someone shows up with a free vacation and a packed suitcase.	conditional	Yes	No
3210	Are you leaving town for the weekend?	Only if my couch suddenly kicks me out.	sarcastic	No	No
3211	Are you leaving town for the weekend?	I am leaving town after weekend.	contrastive	No	No
3212	Are you leaving town for the weekend?	I'm staying at home.	ambiguous	No	No
3213	You like swimming?	Unless the pool is empty, and I don't have to get my hair wet.	conditional	No	No
3214	You like swimming?	I'd rather wrestle an octopus in a snowstorm.	sarcastic	No	No
3215	You like swimming?	I’d take a good long walk over swimming any day.	contrastive	Yes	No
3216	You like swimming?	I’m not exactly diving in every chance I get.	ambiguous	No	No
3217	Do you like country and western bands ?	Unless they suddenly start sounding like indie rock.	conditional	No	No
3218	Do you like country and western bands ?	Only if I’m trapped in a truck with a broken radio and no way out.	sarcastic	No	No
3219	Do you like country and western bands ?	I’m more into jazz or electronic.	contrastive	No	No
3220	Do you like country and western bands ?	I will try to listen to it.	ambiguous	Yes	No
3221	Do you still sleep with the lights on?	If you paid that for me.	conditional	No	No
3222	Do you still sleep with the lights on?	I'm not a scaredy cat anymore.	sarcastic	No	No
3223	Do you still sleep with the lights on?	I sleep with music now.	contrastive	No	No
3224	Do you still sleep with the lights on?	I turn off the lights before I go to bed.	ambiguous	No	No
3225	Are you tired?	If I had to run 1000m.	conditional	Yes	No
3226	Are you tired?	I can even run 10000m more.	sarcastic	No	No
3227	Are you tired?	I would like to swim for 1 hour.	contrastive	Yes	No
3228	Are you tired?	I'm feeling energetic.	ambiguous	Yes	No
3229	Did you and Jessica ever end up tying the knot?	If she wanted to.	conditional	Yes	No
3230	Did you and Jessica ever end up tying the knot?	Could you see the ring on my finger?	sarcastic	Yes	No
3231	Did you and Jessica ever end up tying the knot?	We stayed close, but didn’t go that far.	contrastive	No	No
3232	Did you and Jessica ever end up tying the knot?	I am going to get married.	ambiguous	Yes	No
3233	Would you like to join the rally this weekend?	If I didn’t already have plans.	conditional	No	No
3234	Would you like to join the rally this weekend?	Spending my only free day in a crowd sounds like a dream.	sarcastic	Yes	No
3235	Would you like to join the rally this weekend?	I am planning a quiet weekend at home.	contrastive	No	No
3236	Would you like to join the rally this weekend?	I don't like crowds.	ambiguous	No	No
3237	Hey if you're up to it, would you like to hit the gym with me in the morning?	If I could get up early.	conditional	Yes	No
3238	Hey if you're up to it, would you like to hit the gym with me in the morning?	I am not a fan of exercise.	sarcastic	No	No
3239	Hey if you're up to it, would you like to hit the gym with me in the morning?	Mornings are rough, but I’ll try.	contrastive	No	No
3240	Hey if you're up to it, would you like to hit the gym with me in the morning?	I want to sleep until 10 o'clock.	ambiguous	No	No
3241	Are you happy with your work life balance?	If emails stopped after 6 p.m., yes.	conditional	No	No
3242	Are you happy with your work life balance?	Oh yeah, my hobbies include meetings and burnout.	sarcastic	Yes	No
3243	Are you happy with your work life balance?	It would be better to have more vacation.	contrastive	Yes	No
3244	Are you happy with your work life balance?	I could use a little less life and a lot more work.	ambiguous	No	No
3245	Do you own an electronic reader?	If someone sneaks one under my pillow while I sleep.	conditional	No	No
3246	Do you own an electronic reader?	I still read books the way cavemen told stories.	sarcastic	Yes	No
3247	Do you own an electronic reader?	I prefer books.	contrastive	No	No
3248	Do you own an electronic reader?	I think computer is enough.	ambiguous	Yes	No
3249	Does your job involve customer service?	Unless absolutely necessary.	conditional	Yes	No
3250	Does your job involve customer service?	 I wish I have the patience for that.	sarcastic	Yes	No
3251	Does your job involve customer service?	I would rather work with computer.	contrastive	No	No
3252	Does your job involve customer service?	I mostly work behind the scenes.	ambiguous	No	No
3253	Do you enjoy going to festivals?	If I liked the crowd.	conditional	Yes	No
3254	Do you enjoy going to festivals?	Who is willing to spend money to enjoy the sweat of thousands of people?	sarcastic	Yes	No
3255	Do you enjoy going to festivals?	I prefer listening online.	contrastive	No	No
3256	Do you enjoy going to festivals?	I might try it later.	ambiguous	Yes	No
3257	Want to go to a Jonas Brothers concert with me?	Only if earplugs and escape routes are provided.	conditional	Yes	No
3258	Want to go to a Jonas Brothers concert with me?	Is he famous?	sarcastic	Yes	No
3259	Want to go to a Jonas Brothers concert with me?	I’d love to hang out, just maybe somewhere a little quieter.	contrastive	No	No
3260	Want to go to a Jonas Brothers concert with me?	Am I the target audience?	ambiguous	Yes	No
3261	Do you have energy to go out tonight?	If you carried me.	conditional	Yes	No
3262	Do you have energy to go out tonight?	Then you need to carry me and my bed together.	sarcastic	No	No
3263	Do you have energy to go out tonight?	We would better stay home.	contrastive	No	No
3264	Do you have energy to go out tonight?	I'm still a little too tired to go out.	ambiguous	No	No
3265	Do you like food trucks?	Only if I’m in the mood for mystery meat and existential dread.	conditional	Yes	No
3266	Do you like food trucks?	Unless I want to gamble with my digestive system.	sarcastic	No	No
3267	Do you like food trucks?	I’d rather cook blindfolded in a thunderstorm than eat from one again.	contrastive	No	No
3268	Do you like food trucks?	I think the health and safety aspect of these vehicles is a bit suspect.	ambiguous	No	No
3269	Do you feel you get paid enough?	If I didn’t have bills, maybe.	conditional	No	No
3270	Do you feel you get paid enough?	Totally—I'm practically a millionaire in Monopoly.	sarcastic	Yes	No
3271	Do you feel you get paid enough?	I prefer to get more.	contrastive	No	No
3272	Do you feel you get paid enough?	I deserve a higher salary.	ambiguous	Yes	No
3273	Do you enjoy books in series?	Unless they paid for me to wait.	conditional	No	No
3274	Do you enjoy books in series?	That’s like signing up for a relationship I didn’t ask for.	sarcastic	No	No
3275	Do you enjoy books in series?	The longer the story the more likely I'll lose interest.	contrastive	No	No
3276	Do you enjoy books in series?	I’ve tried a few, but I usually lose interest halfway through.	ambiguous	No	No
3277	Did you go to University?	If I chose a good fied.	conditional	Yes	No
3278	Did you go to University?	I’ve got a PhD in real life.	sarcastic	Yes	No
3279	Did you go to University?	I went straight into work instead.	contrastive	No	No
3280	Did you go to University?	I have been working for many years.	ambiguous	Yes	No
3281	Is this a profession you want to stay in?	If I had done something good.	conditional	Yes	No
3282	Is this a profession you want to stay in?	Let’s just say I’m not married to it.	sarcastic	No	No
3283	Is this a profession you want to stay in?	I think I’m ready for something new.	contrastive	Yes	No
3284	Is this a profession you want to stay in?	It’s been a good experience, but I’m keeping my options open.	ambiguous	Yes	No
3285	Are you a fan of classics?	If I could not sleep well.	conditional	No	No
3286	Are you a fan of classics?	Who wants to fall asleep in a second while listening to music?	sarcastic	No	No
3287	Are you a fan of classics?	I am a fan of rock.	contrastive	Yes	No
3288	Are you a fan of classics?	I like FKJ.	ambiguous	Yes	No
3289	Did you finish putting everything away?	If “away” means piled in one corner, then yes.	conditional	No	No
3290	Did you finish putting everything away?	Totally—my room looks like a catalog.	sarcastic	Yes	No
3291	Did you finish putting everything away?	I have a few things I'll have to do on Monday.	contrastive	Yes	No
3292	Did you finish putting everything away?	I can not decide.	ambiguous	No	No
3293	Do you still go to the ice cream shop we loved?	If it was not closed.	conditional	No	No
3294	Do you still go to the ice cream shop we loved?	It just wouldn’t taste the same without you.	sarcastic	No	No
3295	Do you still go to the ice cream shop we loved?	since they raised the prices and ruined the sprinkles.	contrastive	No	No
3296	Do you still go to the ice cream shop we loved?	It went out of business.	ambiguous	No	No
3297	Have you been to SXSW?	Unless dreaming about it counts.	conditional	Yes	No
3298	Have you been to SXSW?	Only in my dreams, and even then, I couldn’t get a ticket.	sarcastic	Yes	No
3299	Have you been to SXSW?	I prefer to listen music at home.	contrastive	No	No
3300	Have you been to SXSW?	I’ve always wanted to.	ambiguous	Yes	No
3301	Are you looking for a 1-bedroom apartment?	If a 1-bedroom apartment could accommodate four people.	conditional	Yes	No
3302	Are you looking for a 1-bedroom apartment?	Sure—who doesn’t want to pay more for less space?	sarcastic	No	No
3303	Are you looking for a 1-bedroom apartment?	I would prefer two.	contrastive	No	No
3304	Are you looking for a 1-bedroom apartment?	how big is a 1-bedroom apartment?	ambiguous	Yes	No
3305	Do you like Chinese rice?	If I wasn't allergic to rice.	conditional	No	No
3306	Do you like Chinese rice?	I might be a fat girl.	sarcastic	No	No
3307	Do you like Chinese rice?	I like noodles better.	contrastive	No	No
3308	Do you like Chinese rice?	I do like China.	ambiguous	Yes	No
3309	How about we grab some burgers for dinner?	If I did not eat burger last night.	conditional	No	No
3310	How about we grab some burgers for dinner?	Why could you eat burgers everyday?	sarcastic	Yes	No
3311	How about we grab some burgers for dinner?	I'm more in the mood for Chinese.	contrastive	No	No
3312	How about we grab some burgers for dinner?	I want to eat rice.	ambiguous	Yes	No
3313	Can you play football?	If I liked it.	conditional	Yes	No
3314	Can you play football?	I’m basically a professor on the bench.	sarcastic	No	No
3315	Can you play football?	I can play volleyball.	contrastive	Yes	No
3316	Can you play football?	It's a little rough for me.	ambiguous	No	No
3317	Any thoughts on what you'd do instead?	If I had a plan, I’d be doing it.	conditional	Yes	No
3318	Any thoughts on what you'd do instead?	Sure—just waiting for my dream job to call me.	sarcastic	Yes	No
3319	Any thoughts on what you'd do instead?	I’ve got a few ideas, still thinking it through.	contrastive	Yes	No
3320	Any thoughts on what you'd do instead?	It’s still forming.	ambiguous	No	No
3321	Do you have any family close by?	If I could drive to them within two hours, I would say yes.	conditional	No	No
3322	Do you have any family close by?	I moved here just to get away from them.	sarcastic	No	No
3323	Do you have any family close by?	I enjoy live alone.	contrastive	No	No
3324	Do you have any family close by?	They are all in another country.	ambiguous	No	No
3325	Have you visited other friends recently?	If texting counts, then yes.	conditional	Yes	No
3326	Have you visited other friends recently?	Do you have also other friends except me?	sarcastic	No	No
3327	Have you visited other friends recently?	I only like to meet with you.	contrastive	No	No
3328	Have you visited other friends recently?	It's been a while since I've seen anyone else.	ambiguous	Yes	No
3329	Are you employed?	Only if scrolling job boards counts as a full-time job.	conditional	Yes	No
3330	Are you employed?	I’m currently the CEO of Overthinking & Snacks Inc.	sarcastic	Yes	No
3331	Are you employed?	Cleaning the house is also a good job.	contrastive	Yes	No
3332	Are you employed?	I am looking for a job.	ambiguous	Yes	No
3333	Do you want to go for brunch tomorrow?	If I could get up before 9am.	conditional	No	No
3334	Do you want to go for brunch tomorrow?	Only if I can roll out of bed straight into a plate of waffles.	sarcastic	No	No
3335	Do you want to go for brunch tomorrow?	I would like to have luch directly.	contrastive	No	No
3336	Do you want to go for brunch tomorrow?	I have to work.	ambiguous	No	No
3337	Shall we go shopping?	If it was sunny outside.	conditional	Yes	No
3338	Shall we go shopping?	Do you really want to go out even it rains?	sarcastic	No	No
3339	Shall we go shopping?	I prefer see movie.	contrastive	No	No
3340	Shall we go shopping?	I am going to go to restaurant.	ambiguous	Yes	No
3341	Do you listen to music while you cook?	If I were master.	conditional	Yes	No
3342	Do you listen to music while you cook?	Then I would have a pot of black.	sarcastic	Yes	No
3343	Do you listen to music while you cook?	I prefer watching recipe videos.	contrastive	No	No
3344	Do you listen to music while you cook?	I have to concentrate.	ambiguous	No	No
3345	Do you eat breakfast food for lunch or dinner?	If I only had time to prepare for breakfast.	conditional	No	No
3346	Do you eat breakfast food for lunch or dinner?	Thus I will be unhappy.	sarcastic	No	No
3347	Do you eat breakfast food for lunch or dinner?	I like to eat a variety of foods for three meals.	contrastive	Yes	No
3348	Do you eat breakfast food for lunch or dinner?	My doctor planed my breakfast, lunch and dinner menus.	ambiguous	Yes	No
3349	Can I join you?	If we did not have already 3 team members.	conditional	No	No
3350	Can I join you?	Why do you want to join us, we can not help you?	sarcastic	No	No
3351	Can I join you?	I prefer to do this task by myself.	contrastive	No	No
3352	Can I join you?	I do not need anyone.	ambiguous	No	No
3353	Shall I book a table at my favourite restaurant tomorrow night?	If I did not call them that they had no free table any more.	conditional	No	No
3354	Shall I book a table at my favourite restaurant tomorrow night?	I must be the one to do everything for you like a slave.	sarcastic	Yes	No
3355	Shall I book a table at my favourite restaurant tomorrow night?	I would like to do everything for you.	contrastive	Yes	No
3356	Shall I book a table at my favourite restaurant tomorrow night?	I have already booked that.	ambiguous	No	No
3357	Have you been bowling before?	I’ve technically held a bowling ball, if that counts.	conditional	Yes	No
3358	Have you been bowling before?	Does gutter ball after gutter ball count as “been”?	sarcastic	Yes	No
3359	Have you been bowling before?	I only play badminton.	contrastive	No	No
3360	Have you been bowling before?	Taday is my first time.	ambiguous	No	No
3361	Do you want a new challenge?	If it comes with a manual, a support group, and snacks.	conditional	Yes	No
3362	Do you want a new challenge?	I’m still recovering from the last one!	sarcastic	No	No
3363	Do you want a new challenge?	I hope you could get one new.	contrastive	Yes	No
3364	Do you want a new challenge?	I still deal with my current challenge.	ambiguous	No	No
3365	Does it feel strange to see me again?	If you thought so.	conditional	Yes	No
3366	Does it feel strange to see me again?	Do you regard me as stranger?	sarcastic	Yes	No
3367	Does it feel strange to see me again?	It is stranger to see you later.	contrastive	No	No
3368	Does it feel strange to see me again?	I feel it is good.	ambiguous	Yes	No
3369	Do you have a date?	If I had a crush.	conditional	Yes	No
3370	Do you have a date?	I have one with you.	sarcastic	Yes	No
3371	Do you have a date?	I prefer enjoy life with myself.	contrastive	No	No
3372	Do you have a date?	I am dating with my thought.	ambiguous	No	No
3373	Would you like something more exotic?	Unless it comes with a detailed explanation and a safety guarantee.	conditional	Yes	No
3374	Would you like something more exotic?	Last time I tried that, I couldn’t pronounce it, eat it, or survive it.	sarcastic	No	No
3375	Would you like something more exotic?	I’m more of a plain-and-predictable kind of person.	contrastive	No	No
3376	Would you like something more exotic?	I like my country style.	ambiguous	Yes	No
3377	Would you like to exchange numbers?	If you could tell me my name.	conditional	Yes	No
3378	Would you like to exchange numbers?	My phone barely survives contact with reality — it might self-destruct if I add one more number.	sarcastic	No	No
3379	Would you like to exchange numbers?	I’d rather keep things simple.	contrastive	No	No
3380	Would you like to exchange numbers?	I have no phone.	ambiguous	No	No
3381	Would you like to pet my dog?	If you mean your toy dog.	conditional	Yes	No
3382	Would you like to pet my dog?	I would die if you put it and me together.	sarcastic	No	No
3383	Would you like to pet my dog?	I would rather mit cat.	contrastive	No	No
3384	Would you like to pet my dog?	I have to go home.	ambiguous	No	No
3385	How about some pancakes?	Unless they come with a mountain of whipped cream and zero guilt.	conditional	No	No
3386	How about some pancakes?	If I eat one more pancake, I might turn into one.	sarcastic	Yes	No
3387	How about some pancakes?	I’m more of a waffles person.	contrastive	No	No
3388	How about some pancakes?	I’m still recovering from breakfast.	ambiguous	No	No
3389	Do you like buffets?	Unless someone else makes my plate for me and guards it from kids with sticky fingers.	conditional	No	No
3390	Do you like buffets?	I get overwhelmed just looking at all the options.	sarcastic	Yes	No
3391	Do you like buffets?	I’d rather go to a place with a focused menu.	contrastive	No	No
3392	Do you like buffets?	I usually end up eating too much and regretting everything.	ambiguous	No	No
3393	Do you enjoy the job?	If I could get a better pay.	conditional	Yes	No
3394	Do you enjoy the job?	I am thinking of quit my job everyday.	sarcastic	No	No
3395	Do you enjoy the job?	I want to have a simple job.	contrastive	Yes	No
3396	Do you enjoy the job?	It was draining.	ambiguous	Yes	No
3397	Are you originally from this town?	If I could speak the local dialect and talk to people there.	conditional	Yes	No
3398	Are you originally from this town?	I'm going to be part of this little town soon!	sarcastic	Yes	No
3399	Are you originally from this town?	I moved here just for work.	contrastive	No	No
3400	Are you originally from this town?	I grew up in Canada.	ambiguous	No	No
3401	Have you tried Valentina's BBQ?	If I could ever find parking, I would’ve.	conditional	Yes	No
3402	Have you tried Valentina's BBQ?	Is it any special?	sarcastic	Yes	No
3403	Have you tried Valentina's BBQ?	I only heard of it.	contrastive	No	No
3404	Have you tried Valentina's BBQ?	My boyfriend and his parents have tried it last week.	ambiguous	No	No
3405	Are you a big meat-eater?	If my doctor told me that I could.	conditional	Yes	No
